,city
0,남해
1,창원
2,중국
3,통영
4,여수
5,사천
6,러시아
7,미국
8,군산
9,미상
10,고성
11,밀양
12,진주
13,창녕
14,합천
15,고령
16,상주
17,대구
18,여주
19,김해
20,이천
21,거제
22,함안
23,광주
24,임실
25,나주
26,논산
27,익산
28,성주
29,전주
30,안성
31,완주
32,의령
33,양평
34,부여
35,광양
36,서천
37,고흥
38,하남
39,서산
40,세네갈
41,제주
42,남아공
43,평택
44,해남
45,충주
46,산청
47,완도
48,보성
49,무안
50,청송
51,서울
52,진천
53,장흥
54,장성
55,담양
56,대전
57,인제
58,성남
59,평창
60,김제
61,강릉
62,예천
63,부안
64,홍천
65,고창
66,김천
67,남원
68,정선
69,청양
70,구미
71,금산
72,태안
73,시흥
74,예산
75,당진
76,화천
77,봉화
78,원주
79,철원
80,춘천
81,영주
82,홍성
83,제천
84,부천
85,안동
86,횡성
87,괴산
88,세종
89,신안
90,베트남
91,바레인
92,파키스탄
93,장항
94,강화
95,영암
96,아산
97,천안
98,보령
99,음성
100,고양
101,노르웨이
102,하동
103,마산
104,공주
105,청원
106,영동
107,화순
108,진도
109,양주
110,파주
111,남양주
112,포천
113,용인
114,구리
115,광명
116,의왕
117,경산
118,영양
119,의정부
120,영광
121,영천
122,포항
123,정읍
124,영덕
125,양구
126,울산
127,순천
128,부산
129,인천
130,거창
131,함양
132,곡성
133,순창
134,강진
135,장수
136,청도
137,의성
138,필리핀
139,진안
140,옥천
141,화성
142,연기
143,오산
144,수원
145,김포
146,안양
147,목포
148,가평
149,함평
150,증평
151,문경
152,영월
153,삼척
154,양양
155,청주
156,태백
157,구례
158,동해
159,무주
160,경주
161,보은
162,단양
163,군위
164,속초
165,계룡
166,페루
167,아르헨티나
168,에콰도르
169,캐나다
170,인도
171,대만
172,일본
173,칠레
174,태국
175,안산
176,통가
177,뉴칼레도니아
178,뉴질랜드
179,멕시코
180,이란
181,울진
182,호주
183,양산
184,콜롬비아
185,과테말라
186,인도네시아
187,이스라엘
188,코스타리카
189,아르메니아
190,스페인
191,이탈리아
192,연천
193,칠곡
194,옹진
195,캄보디아
196,불가리아
197,과천
198,울릉
199,동두천
200,모로코
201,우즈베키스탄
202,브라질
203,말레이시아
204,오만
205,영국
206,우크라이나
207,아일랜드
208,이집트
209,사우디아라비아
210,네덜란드
211,그리스
212,프랑스
213,군포
214,진해
215,삭제
216,파푸아뉴기니
217,오스트레일리아
218,파나마
219,미얀마
220,영
221,북한
222,불령리유니온
223,터키
224,그린란드
225,청
226,방글라데시
227,바누아투
228,아랍에미레이트
229,모리타니
230,아이슬란드
231,포르투갈
232,싱가포르
